"id","child_age","age","sex","education","race","latino","metropolis","employment","employment_type","partner_in_house","n_of_children","work_hours","day","day_off","elderly_care","childcare","sleep","insomnia","getting_ready","in_house","in_garden","vehicles","time_with_children","school_children","doctor_children","work","hobby_income","courses","shopping","services","departments","free_time","culture","sport","watching_sport","religion","phone","travel","any_children","earnings"
20,NA,21,"F","secondary","white","latino","metropolis","not in the labor force",NA,"no partner",0,NA,"sunday",FALSE,NA,0,720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,688,0,0,0,0,0,0,0,NA
21,9,45,"F","secondary","white","non-latino","metropolis","employed","full-time","partner",3,40,"wednesday",FALSE,NA,662,478,0,0,32,0,0,120,60,0,646,0,0,10,0,0,0,0,0,0,0,0,4,1,1096.15
22,NA,62,"M","tertiary","white","non-latino","metropolis","employed","full-time","partner",0,50,"wednesday",FALSE,NA,0,405,0,20,0,0,20,0,0,0,437,0,0,20,0,0,375,0,0,0,0,0,81,0,NA
23,NA,67,"F","secondary","white","non-latino","metropolis","employed","half-time","partner",0,20,"sunday",FALSE,NA,0,590,0,105,30,0,0,0,0,0,0,0,0,90,0,0,265,0,0,0,130,60,65,0,200
24,NA,80,"F","secondary","white","non-latino","metropolis","not in the labor force",NA,"no partner",0,NA,"tuesday",FALSE,176,0,480,0,30,12,0,0,0,0,0,0,0,0,214,0,0,280,0,0,0,0,0,51,0,NA
25,NA,61,"F","secondary","white","non-latino","metropolis","not in the labor force",NA,"partner",0,NA,"wednesday",FALSE,NA,0,690,0,90,0,0,0,0,0,0,0,0,0,0,0,0,315,0,0,0,0,0,40,0,NA
26,14,49,"M","secondary","white","non-latino","metropolis","not in the labor force",NA,"partner",1,NA,"sunday",FALSE,NA,0,630,0,0,0,0,0,0,0,0,0,0,0,60,0,0,665,0,0,0,0,0,45,1,NA
27,0,26,"F","secondary","white","non-latino","metropolis","employed","full-time","partner",2,40,"monday",FALSE,120,150,420,0,55,0,0,0,270,0,0,444,0,0,0,0,0,10,0,0,0,0,0,66,1,360
28,NA,66,"F","tertiary","white","non-latino","metropolis","not in the labor force",NA,"no partner",0,NA,"monday",FALSE,NA,0,510,0,45,222,0,0,0,0,0,0,0,0,0,0,0,315,0,0,0,0,30,0,0,NA
29,NA,62,"M","secondary","other","non-latino","metropolis","employed","full-time","partner",0,40,"sunday",FALSE,NA,0,518,0,40,0,120,0,0,0,0,0,0,0,12,0,0,320,0,120,0,120,0,75,0,560
30,NA,61,"M","tertiary","white","non-latino","metropolis","not in the labor force",NA,"no partner",0,NA,"sunday",FALSE,NA,0,640,0,0,0,90,0,0,0,0,0,0,0,0,0,0,467,0,0,0,0,0,3,0,NA
31,NA,47,"M","tertiary","asian","non-latino","metropolis","employed","full-time","partner",0,45,"sunday",FALSE,NA,0,496,0,25,60,0,0,0,0,0,0,0,0,5,0,0,330,0,0,0,0,0,170,0,1538.46
32,13,16,"F","primary","white","non-latino","metropolis","not in the labor force",NA,"no partner",2,NA,"wednesday",FALSE,NA,0,600,0,75,0,0,5,0,0,0,0,0,0,0,0,0,372,0,210,0,0,0,37,1,NA
33,NA,74,"F","secondary","black","non-latino","metropolis","not in the labor force",NA,"no partner",0,NA,"wednesday",FALSE,NA,0,510,60,120,0,0,0,0,0,0,0,0,0,0,0,0,730,0,0,0,0,0,0,0,NA
34,NA,70,"M","tertiary","white","non-latino","metropolis","not in the labor force",NA,"no partner",0,NA,"sunday",FALSE,NA,0,600,0,0,10,0,0,0,0,0,0,0,0,30,0,0,320,0,0,0,0,0,20,0,NA
35,NA,64,"M","tertiary","asian","non-latino","metropolis","not in the labor force",NA,"partner",0,NA,"tuesday",FALSE,NA,0,690,0,5,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,NA
36,NA,69,"M","tertiary","white","latino","non-metropolis","employed","full-time","no partner",0,45,"thursday",FALSE,NA,0,445,0,95,0,0,0,0,0,0,460,0,0,10,0,0,248,0,0,0,0,0,72,0,1038.46
37,NA,56,"F","tertiary","white","non-latino","non-metropolis","not in the labor force",NA,"no partner",0,NA,"friday",FALSE,NA,0,420,0,40,0,0,0,0,0,0,0,0,0,0,0,0,660,0,150,0,0,0,0,0,NA
38,NA,28,"F","tertiary","other","non-latino","metropolis","employed","full-time","no partner",0,38,"thursday",FALSE,NA,0,395,45,90,20,0,0,0,0,0,450,0,0,0,0,0,120,0,0,0,0,45,68,0,884.61
39,NA,55,"F","tertiary","white","non-latino","metropolis","employed","half-time","no partner",0,10,"thursday",FALSE,NA,0,540,0,30,0,0,0,0,0,0,240,0,0,0,0,0,235,0,0,0,0,120,110,0,415
40,NA,66,"F","secondary","white","non-latino","non-metropolis","employed","full-time","no partner",0,40,"sunday",FALSE,NA,0,460,0,20,0,0,0,0,0,0,0,0,0,0,0,0,741,0,0,0,0,90,0,0,576.92
41,NA,72,"F","secondary","white","non-latino","non-metropolis","not in the labor force",NA,"no partner",0,NA,"sunday",FALSE,NA,0,330,0,30,105,0,0,0,0,0,0,0,0,0,0,0,840,0,0,0,0,0,0,0,NA
42,NA,54,"M","secondary","white","latino","metropolis","employed","full-time","no partner",0,40,"tuesday",FALSE,NA,0,390,0,60,0,0,0,0,0,0,600,0,0,0,0,0,30,0,0,150,0,0,120,0,350
43,NA,66,"M","secondary","white","non-latino","non-metropolis","employed","full-time","partner",0,35,"sunday",FALSE,NA,0,450,0,95,0,0,0,0,0,0,0,0,0,55,0,0,210,0,0,0,195,0,130,0,NA
44,NA,80,"M","secondary","white","non-latino","metropolis","not in the labor force",NA,"no partner",0,NA,"friday",FALSE,NA,0,500,0,70,90,0,60,0,0,0,0,0,0,0,0,0,350,0,0,0,0,15,0,0,NA
45,NA,66,"M","tertiary","black","non-latino","metropolis","not in the labor force",NA,"partner",0,NA,"sunday",FALSE,NA,0,515,0,35,0,0,0,0,0,0,0,0,0,0,0,0,630,0,0,0,0,0,0,0,NA
46,5,36,"M","secondary","white","non-latino","metropolis","employed","full-time","no partner",3,40,"sunday",FALSE,NA,250,510,0,30,125,0,0,45,0,0,0,0,0,0,0,0,435,0,30,0,135,0,55,1,928.84
47,16,47,"F","tertiary","white","non-latino","metropolis","employed","full-time","partner",1,40,"tuesday",FALSE,NA,0,585,0,15,0,0,0,0,0,0,0,0,0,0,0,0,520,0,0,0,0,45,0,1,400
48,NA,63,"F","tertiary","white","non-latino","metropolis","employed","full-time","no partner",0,60,"friday",FALSE,NA,0,360,0,0,0,0,0,0,0,0,820,0,0,0,0,0,140,0,0,0,0,0,0,0,1826
49,11,18,"F","primary","other","non-latino","metropolis","employed","half-time","no partner",1,NA,"sunday",FALSE,NA,0,550,0,20,0,0,0,0,0,0,345,0,0,0,0,0,259,0,0,0,0,90,21,1,200
50,NA,61,"F","tertiary","white","non-latino","metropolis","not in the labor force",NA,"partner",0,NA,"friday",FALSE,NA,0,450,0,120,0,0,0,0,0,0,0,0,100,40,0,0,305,0,75,0,0,0,95,0,NA
51,NA,79,"M","secondary","black","non-latino","metropolis","not in the labor force",NA,"partner",0,NA,"tuesday",FALSE,NA,0,870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,30,0,NA
52,NA,19,"F","secondary","white","non-latino","metropolis","employed","half-time","no partner",0,25,"sunday",FALSE,NA,0,615,0,50,0,0,0,0,0,0,480,0,0,0,0,0,10,0,0,0,0,0,30,0,231.25
53,NA,38,"F","tertiary","white","non-latino","metropolis","employed","full-time","no partner",0,60,"sunday",FALSE,NA,0,520,0,50,0,0,0,0,0,0,750,0,0,0,0,0,0,0,0,0,0,60,0,0,NA
54,NA,75,"M","secondary","white","non-latino","metropolis","employed","half-time","partner",0,18,"friday",FALSE,NA,0,390,0,50,0,0,120,0,0,0,260,0,0,0,0,0,470,0,0,0,0,0,60,0,288
55,NA,54,"F","tertiary","white","non-latino","metropolis","employed","full-time","no partner",0,50,"sunday",FALSE,NA,0,700,0,0,0,0,0,0,0,0,240,0,0,0,0,0,120,0,0,0,0,0,90,0,846
56,NA,49,"M","secondary","black","non-latino","metropolis","employed","full-time","no partner",0,45,"thursday",FALSE,NA,0,510,0,0,0,120,60,0,0,0,0,0,0,15,0,0,575,0,0,0,0,0,85,0,1000
57,12,51,"F","tertiary","white","non-latino","metropolis","not in the labor force",NA,"partner",2,NA,"wednesday",FALSE,NA,340,375,0,75,0,0,0,36,0,0,0,0,0,25,0,0,210,0,0,0,0,45,137,1,NA
58,NA,80,"F","secondary","white","non-latino","non-metropolis","not in the labor force",NA,"partner",0,NA,"wednesday",FALSE,NA,0,600,0,30,45,0,0,0,0,0,0,0,0,10,0,0,135,153,0,0,0,0,64,0,NA
59,NA,52,"F","secondary","white","non-latino","metropolis","unemployed",NA,"partner",0,NA,"monday",FALSE,NA,0,420,0,90,0,0,0,0,0,0,0,0,0,0,0,0,705,0,0,0,0,0,75,0,NA
60,1,33,"F","tertiary","white","non-latino","metropolis","employed","half-time","partner",2,20,"thursday",FALSE,NA,300,470,0,40,0,0,0,230,0,0,220,0,0,10,0,0,210,0,0,0,0,0,125,1,730.76
61,NA,33,"M","secondary","white","latino","metropolis","employed","full-time","partner",0,40,"tuesday",FALSE,NA,0,525,0,15,60,0,0,0,0,0,495,0,0,0,0,0,45,0,0,0,0,0,30,0,380
62,NA,24,"F","secondary","white","non-latino","non-metropolis","employed","half-time","partner",0,30,"thursday",FALSE,NA,0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,814,0,0,0,0,0,0,0,300
63,NA,48,"M","secondary","white","non-latino","metropolis","employed","full-time","partner",0,55,"tuesday",FALSE,NA,0,450,0,30,0,0,0,0,0,0,683,0,0,0,0,0,223,0,0,0,0,0,14,0,1826.92
64,15,16,"M","primary","asian","non-latino","metropolis","not in the labor force",NA,"no partner",2,NA,"sunday",FALSE,NA,0,660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,465,0,0,0,0,0,30,1,NA
65,NA,60,"F","secondary","white","non-latino","non-metropolis","employed","full-time","no partner",0,40,"sunday",FALSE,NA,0,710,0,50,0,0,0,0,0,0,0,0,0,0,0,0,580,0,0,0,0,0,0,0,484.4
66,NA,72,"F","tertiary","black","non-latino","non-metropolis","not in the labor force",NA,"no partner",0,NA,"friday",FALSE,NA,0,625,0,0,150,0,0,0,0,0,0,0,0,0,0,0,430,0,0,0,0,20,0,0,NA
67,17,49,"F","tertiary","white","non-latino","metropolis","employed","full-time","no partner",1,42,"wednesday",FALSE,NA,0,481,0,75,5,0,0,0,0,0,569,0,0,0,0,0,65,0,0,0,0,0,135,1,1750
68,4,38,"M","tertiary","white","non-latino","metropolis","employed","full-time","partner",1,37,"sunday",FALSE,NA,595,630,0,15,30,120,120,155,0,0,0,0,0,20,0,0,170,0,60,0,0,0,35,1,962
69,NA,69,"M","secondary","white","non-latino","metropolis","not in the labor force",NA,"partner",0,NA,"sunday",FALSE,NA,0,510,0,15,40,20,0,0,0,0,0,0,0,0,0,0,800,0,0,0,0,0,0,0,NA
70,NA,26,"M","secondary","asian","non-latino","metropolis","unemployed",NA,"no partner",0,NA,"sunday",FALSE,NA,0,540,0,60,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,145,0,155,0,NA
71,NA,70,"F","tertiary","white","non-latino","metropolis","not in the labor force",NA,"no partner",0,NA,"sunday",FALSE,NA,0,540,0,70,10,0,0,0,0,0,0,0,0,40,0,0,249,0,0,0,65,1,38,0,NA
72,17,41,"M","secondary","white","non-latino","metropolis","employed","full-time","no partner",1,40,"sunday",FALSE,115,0,345,0,70,0,0,0,0,0,0,600,0,0,10,0,0,90,0,0,0,0,0,138,1,825
73,4,44,"F","secondary","black","non-latino","metropolis","employed","half-time","no partner",2,6,"wednesday",FALSE,NA,665,685,0,80,0,0,45,90,0,0,300,0,0,0,0,0,0,0,0,0,0,90,0,1,NA
74,NA,63,"F","secondary","white","non-latino","metropolis","not in the labor force",NA,"partner",0,NA,"wednesday",FALSE,NA,0,675,60,10,0,10,0,0,0,0,0,0,0,0,0,0,325,0,0,0,0,0,40,0,NA
75,13,47,"M","secondary","white","non-latino","metropolis","employed","full-time","partner",1,70,"tuesday",FALSE,180,0,540,0,0,90,0,45,0,0,0,0,0,0,30,0,0,380,45,0,0,0,0,180,1,621.23
76,NA,71,"F","secondary","white","non-latino","metropolis","not in the labor force",NA,"no partner",0,NA,"wednesday",FALSE,NA,0,480,0,0,150,0,0,0,0,0,0,0,0,0,0,0,440,0,0,0,0,30,0,0,NA
77,8,32,"F","tertiary","white","non-latino","metropolis","employed","full-time","no partner",1,46,"thursday",FALSE,NA,390,529,0,45,5,0,0,68,10,1,360,0,0,50,0,0,115,0,0,0,0,20,74,1,1346.15
78,14,51,"F","tertiary","white","non-latino","metropolis","employed","full-time","no partner",1,50,"sunday",FALSE,NA,0,240,0,0,90,60,0,40,0,0,60,0,0,0,0,0,305,0,0,0,0,0,50,1,1923.07
79,16,18,"F","secondary","white","latino","metropolis","not in the labor force",NA,"no partner",1,NA,"thursday",FALSE,NA,0,290,0,80,0,0,0,0,0,0,0,0,336,15,0,0,20,0,20,0,0,0,84,1,NA
80,NA,41,"F","secondary","white","latino","metropolis","employed","half-time","partner",0,25,"friday",FALSE,NA,0,700,0,35,0,0,0,0,0,0,410,0,0,5,0,0,70,0,0,0,0,0,100,0,300
81,8,40,"F","tertiary","white","non-latino","metropolis","employed","half-time","partner",2,10,"thursday",FALSE,NA,335,450,0,0,5,0,0,94,0,0,392,0,0,30,0,0,60,0,35,0,0,0,167,1,NA
82,NA,20,"F","secondary","black","non-latino","metropolis","not in the labor force",NA,"partner",0,NA,"sunday",FALSE,NA,0,690,0,30,0,0,0,0,0,0,0,0,0,21,0,0,315,0,0,0,0,0,293,0,NA
83,NA,78,"F","secondary","white","latino","metropolis","not in the labor force",NA,"no partner",0,NA,"friday",FALSE,NA,0,450,0,10,0,0,0,0,0,0,0,0,0,0,0,0,448,0,0,0,0,0,80,0,NA
84,6,40,"F","tertiary","white","non-latino","metropolis","employed","full-time","partner",2,50,"thursday",FALSE,NA,60,445,0,60,60,0,0,50,120,0,495,0,0,0,0,0,0,0,0,0,0,0,90,1,2884.61
85,NA,46,"F","secondary","white","latino","metropolis","not in the labor force",NA,"partner",0,NA,"friday",FALSE,NA,0,515,0,60,240,0,0,0,0,0,0,0,0,120,0,0,30,0,30,0,0,0,85,0,NA
86,NA,62,"M","secondary","white","latino","non-metropolis","not in the labor force",NA,"partner",0,NA,"monday",FALSE,NA,0,655,0,0,188,30,0,0,0,0,0,0,0,60,0,0,240,0,0,0,0,0,72,0,NA
87,NA,53,"M","secondary","white","non-latino","metropolis","employed","full-time","no partner",0,40,"wednesday",FALSE,NA,0,580,0,40,0,0,0,0,0,0,475,0,0,35,0,0,150,0,0,0,0,0,95,0,1500
88,NA,79,"M","secondary","white","non-latino","metropolis","not in the labor force",NA,"partner",0,NA,"monday",FALSE,145,0,600,0,0,90,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,60,10,0,NA
89,NA,67,"M","tertiary","white","non-latino","metropolis","employed","full-time","partner",0,38,"tuesday",FALSE,NA,0,889,0,5,0,0,0,0,0,0,4,0,0,0,0,0,335,0,0,0,0,2,0,0,1538.46
90,NA,62,"F","secondary","white","non-latino","metropolis","not in the labor force",NA,"partner",0,NA,"monday",FALSE,NA,0,210,0,0,75,0,0,0,0,0,0,0,0,0,0,0,310,0,0,0,0,0,0,0,NA
91,3,50,"F","secondary","white","non-latino","metropolis","unemployed",NA,"partner",1,NA,"sunday",FALSE,NA,0,595,0,35,60,0,0,0,0,0,0,265,0,0,0,0,60,0,0,0,165,55,40,1,NA
92,14,47,"F","tertiary","white","non-latino","metropolis","unemployed",NA,"no partner",1,NA,"tuesday",FALSE,NA,0,450,0,20,0,0,0,0,0,0,0,0,0,0,0,0,598,0,0,0,0,0,25,1,NA
93,15,18,"F","secondary","white","non-latino","non-metropolis","unemployed",NA,"no partner",1,NA,"friday",FALSE,NA,0,515,0,50,0,0,0,0,0,0,0,0,171,0,0,0,400,0,0,0,0,0,48,1,NA
94,NA,48,"F","secondary","white","non-latino","metropolis","employed","half-time","partner",0,15,"thursday",FALSE,NA,0,630,0,45,15,0,0,0,0,0,220,45,0,35,0,0,190,0,69,0,0,0,60,0,NA
95,NA,85,"F","primary","black","non-latino","metropolis","not in the labor force",NA,"no partner",0,NA,"sunday",FALSE,NA,0,660,0,90,0,0,0,0,0,0,0,0,0,0,0,0,115,0,0,0,275,0,90,0,NA
96,4,36,"F","secondary","white","non-latino","metropolis","not in the labor force",NA,"partner",3,NA,"monday",FALSE,NA,675,675,0,0,15,0,0,90,0,0,0,0,0,0,0,0,420,0,0,0,0,0,0,1,NA
97,NA,64,"M","secondary","black","non-latino","metropolis","not in the labor force",NA,"no partner",0,NA,"monday",FALSE,NA,0,580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700,0,0,0,0,0,60,0,NA
98,NA,42,"M","secondary","black","non-latino","metropolis","employed","full-time","no partner",0,40,"thursday",FALSE,NA,0,420,0,50,0,0,0,0,0,0,455,0,0,20,0,0,349,0,0,0,0,0,71,0,734
99,NA,65,"F","tertiary","white","non-latino","metropolis","not in the labor force",NA,"no partner",0,NA,"thursday",FALSE,NA,0,630,0,0,15,0,0,0,0,0,0,0,0,0,0,0,195,0,0,0,45,0,0,0,NA
100,NA,80,"F","primary","white","non-latino","metropolis","not in the labor force",NA,"no partner",0,NA,"thursday",FALSE,NA,0,555,0,150,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,240,0,0,NA
101,NA,56,"F","secondary","black","non-latino","metropolis","employed","full-time","no partner",0,NA,"sunday",FALSE,45,0,390,0,30,15,0,0,0,0,0,742,0,0,0,0,0,105,0,0,0,0,0,98,0,1440
102,2,34,"M","tertiary","white","non-latino","metropolis","employed","half-time","partner",3,25,"monday",FALSE,NA,142,135,85,25,0,0,0,280,0,0,30,0,0,0,0,0,182,0,0,0,0,0,53,1,326.92
103,NA,57,"F","secondary","asian","non-latino","metropolis","employed","full-time","no partner",0,40,"sunday",FALSE,NA,0,520,0,135,0,0,0,0,0,0,550,0,0,60,0,0,0,0,0,0,0,0,40,0,961.53
104,2,34,"M","secondary","white","non-latino","metropolis","employed","full-time","partner",2,60,"friday",FALSE,NA,462,808,0,5,90,0,0,20,0,0,0,90,0,60,0,0,206,0,0,0,0,0,104,1,1100
105,3,35,"F","tertiary","black","non-latino","metropolis","employed","full-time","no partner",1,40,"monday",FALSE,NA,65,510,0,60,0,0,0,10,0,0,575,0,0,0,0,0,120,0,0,0,0,0,165,1,2365.38
106,NA,59,"F","secondary","white","non-latino","metropolis","employed","full-time","partner",0,40,"monday",FALSE,NA,0,430,0,70,15,0,0,0,0,0,505,0,0,35,0,0,255,0,0,0,0,0,65,0,800
107,0,31,"F","tertiary","white","non-latino","metropolis","not in the labor force",NA,"partner",3,NA,"sunday",FALSE,NA,454,410,0,70,101,0,0,305,0,55,0,0,0,94,0,0,15,0,0,0,0,40,35,1,NA
108,NA,52,"F","tertiary","white","latino","metropolis","not in the labor force",NA,"partner",0,NA,"sunday",FALSE,NA,0,500,0,60,190,0,0,0,0,0,0,0,0,0,0,0,350,0,60,0,70,0,20,0,NA
109,NA,52,"F","secondary","white","latino","metropolis","employed","full-time","no partner",0,40,"sunday",FALSE,NA,0,605,0,0,0,0,0,0,0,0,0,0,0,45,0,0,210,0,0,0,0,27,40,0,1019.23
110,NA,80,"F","primary","white","latino","metropolis","not in the labor force",NA,"partner",0,NA,"saturday",FALSE,NA,0,330,0,0,60,0,0,0,0,0,0,0,0,0,0,0,690,0,0,0,0,0,0,0,NA
111,8,44,"F","primary","white","latino","metropolis","employed","full-time","partner",2,40,"saturday",FALSE,NA,175,720,0,30,145,0,0,0,0,0,0,0,0,60,0,0,305,0,0,0,0,0,30,1,480
112,14,51,"F","secondary","white","non-latino","metropolis","employed","full-time","no partner",1,35,"wednesday",TRUE,NA,0,408,0,4,0,0,0,0,0,0,525,0,0,0,0,0,310,0,0,0,0,0,128,1,525.7
113,4,39,"F","secondary","white","non-latino","metropolis","not in the labor force",NA,"partner",4,NA,"friday",FALSE,120,585,630,0,15,210,0,0,110,0,85,0,0,0,0,0,0,40,0,0,0,0,0,0,1,NA
114,14,61,"M","secondary","black","non-latino","metropolis","employed","half-time","partner",1,20,"friday",FALSE,NA,0,240,0,60,0,120,30,0,0,0,0,0,0,45,0,0,770,0,0,0,0,0,70,1,200
115,NA,60,"M","secondary","white","non-latino","metropolis","not in the labor force",NA,"no partner",0,NA,"thursday",FALSE,NA,0,300,0,5,25,0,0,0,0,0,0,0,0,15,0,0,486,0,0,0,0,328,31,0,NA
116,NA,71,"M","secondary","white","non-latino","metropolis","employed","full-time","no partner",0,65,"tuesday",FALSE,NA,0,320,0,5,0,0,0,0,0,0,1030,0,0,0,0,0,0,0,0,0,0,0,15,0,646.15
117,16,16,"F","primary","white","non-latino","non-metropolis","not in the labor force",NA,"no partner",1,NA,"thursday",FALSE,150,0,380,0,210,150,0,0,0,0,0,0,0,135,0,0,0,10,0,0,0,0,60,100,1,NA
118,5,45,"M","incomplete primary","white","latino","metropolis","employed","half-time","partner",3,7,"saturday",FALSE,NA,435,765,0,0,30,0,0,0,0,0,0,0,0,60,0,0,480,0,0,0,0,0,30,1,540
119,0,36,"M","tertiary","white","non-latino","metropolis","employed","full-time","partner",4,45,"thursday",FALSE,NA,228,385,0,25,0,0,0,60,0,0,473,0,0,0,0,0,223,0,25,0,20,0,54,1,1211.53
120,0,37,"F","primary","white","latino","metropolis","unemployed",NA,"partner",4,NA,"saturday",FALSE,NA,660,600,0,0,330,0,0,60,0,0,0,0,0,90,0,0,0,0,0,0,0,0,45,1,NA
121,NA,62,"F","tertiary","other","non-latino","metropolis","employed","full-time","partner",0,40,"monday",FALSE,NA,0,420,0,120,0,30,0,0,0,0,480,0,0,0,0,0,15,0,0,0,0,0,135,0,2692
122,5,54,"M","tertiary","white","non-latino","metropolis","employed","full-time","partner",2,45,"saturday",FALSE,NA,448,590,0,15,0,0,0,2,0,0,5,0,0,40,0,0,298,150,0,0,0,0,105,1,2884.61
123,NA,57,"F","tertiary","black","non-latino","non-metropolis","employed","full-time","no partner",0,50,"saturday",FALSE,NA,0,570,0,55,135,0,0,0,0,0,0,0,0,0,0,0,303,0,0,0,55,0,0,0,826.92
124,NA,44,"F","primary","black","non-latino","metropolis","not in the labor force",NA,"no partner",0,NA,"saturday",FALSE,NA,0,570,0,45,75,0,0,0,0,0,0,0,0,0,0,0,100,0,200,0,0,0,135,0,NA
125,NA,62,"F","secondary","white","latino","metropolis","employed","full-time","no partner",0,45,"saturday",FALSE,NA,0,480,0,60,60,0,0,0,0,0,0,0,0,120,0,0,435,0,0,0,0,0,45,0,646.15
126,9,58,"M","secondary","white","non-latino","non-metropolis","employed","full-time","partner",1,50,"friday",FALSE,NA,200,515,0,90,0,0,0,30,0,0,490,0,0,0,0,0,15,0,0,0,0,0,90,1,795.45
127,NA,55,"F","secondary","white","non-latino","metropolis","employed","full-time","partner",0,40,"tuesday",FALSE,NA,0,545,0,75,15,0,0,0,0,0,456,0,0,35,0,0,75,0,0,0,0,60,99,0,769.23
